title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Service history
SKODA FABIA,6900,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5,5,Euro 6,
VAUXHALL CORSA,1495,88585,2008,4,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,Full
HYUNDAI I30,949,137000,2011,,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,
MINI HATCH,2395,96731,2010,5,Petrol,Hatchback,1.4L,Manual,3,4,Euro 4,Full
VAUXHALL CORSA,1000,85000,2013,,Diesel,Hatchback,1.3L,Manual,5,5,Euro 5,
HYUNDAI COUPE,800,124196,2007,3,Petrol,Coupe,2.0L,Manual,3,4,Euro 4,
FORD FOCUS,798,140599,2008,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
VAUXHALL CORSA,1995,90000,2009,,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,
VOLVO 740,750,225318,2025,,Petrol,Estate,2.3L,Automatic,5,,,
PEUGEOT 207,1299,87000,2008,5,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,
FORD FIESTA,1495,181693,2009,,Diesel,Hatchback,1.6L,Manual,3,5,Euro 4,Full
VAUXHALL INSIGNIA,2950,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5,5,Euro 5,
SKODA FABIA,6900,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5,5,Euro 6,
BMW 3 SERIES,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,
CITROEN C1,1100,164985,2008,,Petrol,Hatchback,1.0L,Manual,3,4,Euro 4,
VAUXHALL CORSA,1295,109000,2007,,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,
PEUGEOT 207,999,111400,2007,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,
CITROEN C4,1289,135000,2010,,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,
VAUXHALL ASTRA,1200,134000,2004,5,Petrol,Hatchback,1.8L,Automatic,5,5,Euro 4,
CITROEN C4,1949,114000,2013,,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,
CITROEN C4,1949,114000,2013,,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,
FORD MONDEO,1195,101000,2010,3,Diesel,Hatchback,1.8L,Manual,5,5,Euro 4,
MERCEDES-BENZ A180,14498,53055,2019,,Petrol,Hatchback,1.3L,Manual,5,5,Euro 6,
PEUGEOT 407,1995,89000,2007,,Petrol,Coupe,3.0L,Automatic,2,4,Euro 4,
FORD KA,990,69000,2003,3,Petrol,Hatchback,1.3L,Manual,3,4,Euro 3,
VAUXHALL INSIGNIA,2950,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5,5,Euro 5,
MERCEDES-BENZ A CLASS,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5,Euro 6,
FORD FOCUS,8975,86500,2017,,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,
CITROEN C4,3399,55000,2011,2,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,
SKODA FABIA,1990,150000,2007,2,Diesel,Hatchback,1.9L,Manual,5,5,Euro 4,Full
FORD FOCUS,1200,95000,2009,3,Diesel,Hatchback,1.8L,Manual,5,5,Euro 4,
MAZDA MAZDA2,1490,135800,2008,3,Petrol,Hatchback,1.3L,Manual,5,5,Euro 4,
SAAB 9-3,2250,98000,2006,,Petrol,Convertible,2.0L,Automatic,2,4,Euro 4,
VOLKSWAGEN POLO,2800,106305,2011,4,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,Full
BMW 1 SERIES,2490,86000,2011,3,Petrol,Coupe,2.0L,Manual,2,4,Euro 5,
VAUXHALL CORSA,1695,75786,2008,3,Petrol,Hatchback,1.4L,Manual,3,5,Euro 4,
VAUXHALL CORSA,1795,99905,2010,5,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,Full
VAUXHALL ASTRA,2500,95000,2011,,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,Full
VOLKSWAGEN POLO,2495,149000,2010,1,Diesel,Hatchback,1.2L,Manual,5,5,Euro 5,
MERCEDES-BENZ A CLASS,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5,Euro 6,
VAUXHALL CORSA,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,
